File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
DaG/gobra/dafny_book/chap01.vpr,0,312,8,2,304,309,324,true,success,QPs=0;SCcomps=0;methods=37;postBranches=39;proverWarnings=0
DaG/gobra/dafny_book/chap03.vpr,0,622,57,9,560,610,698,true,success,QPs=0;SCcomps=0;methods=43;postBranches=74;proverWarnings=0
DaG/gobra/dafny_book/chap04.vpr,0,632,4,0,629,630,639,true,success,QPs=0;SCcomps=0;methods=32;postBranches=52;proverWarnings=0
DaG/gobra/dafny_book/chap05.vpr,0,1091,35,3,1041,1113,1121,true,success,QPs=0;SCcomps=0;methods=60;postBranches=113;proverWarnings=0
DaG/gobra/dafny_book/chap06.vpr,0,954,25,2,919,964,980,true,success,QPs=0;SCcomps=0;methods=60;postBranches=94;proverWarnings=0
DaG/gobra/dafny_book/chap07.vpr,0,661,75,11,604,611,768,true,success,QPs=0;SCcomps=0;methods=40;postBranches=71;proverWarnings=0
DaG/gobra/dafny_book/chap08.vpr,0,1932,51,2,1860,1960,1976,true,success,QPs=0;SCcomps=0;methods=79;postBranches=151;proverWarnings=0
DaG/gobra/dafny_book/chap10.vpr,0,1996,21,1,1967,2009,2014,true,success,QPs=0;SCcomps=0;methods=37;postBranches=61;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/BraunTree.vpr,0,144,1,0,143,145,146,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/examples-10.0.vpr,1,11,0,0,11,12,12,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.1.vpr,1,9,0,0,9,9,9,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.2.vpr,1,18,0,0,18,18,18,true,8.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.3.vpr,1,19,0,0,19,19,19,true,11.22-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.4.vpr,0,110,1,0,109,110,112,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.0.vpr,1,9,0,0,9,9,9,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.1.vpr,1,9,0,0,9,9,9,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.2.vpr,1,17,0,0,17,17,17,true,9.43-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.3.vpr,1,19,0,0,19,19,19,true,9.37-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.4.vpr,0,105,1,0,104,106,107,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.0.vpr,0,187,6,3,178,190,193,true,success,QPs=0;SCcomps=0;methods=10;postBranches=10;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.1.vpr,0,132,4,3,127,135,136,true,success,QPs=0;SCcomps=0;methods=3;postBranches=3;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.2.vpr,0,151,2,1,149,150,154,true,success,QPs=0;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.3.vpr,0,106,2,1,103,105,110,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.4.vpr,0,163,1,0,162,163,166,true,success,QPs=0;SCcomps=0;methods=2;postBranches=2;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.5.vpr,0,104,0,0,104,104,105,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.0.vpr,0,158,1,0,157,158,160,true,success,QPs=0;SCcomps=0;methods=12;postBranches=13;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.1.vpr,0,141,0,0,141,141,142,true,success,QPs=0;SCcomps=0;methods=5;postBranches=5;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.2.vpr,0,106,1,0,105,106,108,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.3.vpr,0,169,2,1,167,169,173,true,success,QPs=0;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.4.vpr,0,106,1,0,105,106,108,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
