File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
DaG/gobra/dafny_book/chap01.vpr,0,279,3,1,275,279,283,true,success,QPs=0;SCcomps=0;methods=37;postBranches=39;proverWarnings=0
DaG/gobra/dafny_book/chap03.vpr,0,569,1,0,568,570,570,true,success,QPs=0;SCcomps=0;methods=43;postBranches=74;proverWarnings=0
DaG/gobra/dafny_book/chap04.vpr,0,702,25,3,678,691,737,true,success,QPs=0;SCcomps=0;methods=32;postBranches=52;proverWarnings=0
DaG/gobra/dafny_book/chap05.vpr,0,1204,19,1,1189,1191,1232,true,success,QPs=0;SCcomps=0;methods=60;postBranches=113;proverWarnings=0
DaG/gobra/dafny_book/chap06.vpr,0,981,10,1,968,981,994,true,success,QPs=0;SCcomps=0;methods=60;postBranches=94;proverWarnings=0
DaG/gobra/dafny_book/chap07.vpr,0,695,60,8,652,654,781,true,success,QPs=0;SCcomps=0;methods=40;postBranches=71;proverWarnings=0
DaG/gobra/dafny_book/chap08.vpr,0,1944,52,2,1871,1973,1990,true,success,QPs=0;SCcomps=0;methods=79;postBranches=151;proverWarnings=0
DaG/gobra/dafny_book/chap10.vpr,0,2522,29,1,2481,2539,2546,true,success,QPs=0;SCcomps=0;methods=37;postBranches=61;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/BraunTree.vpr,0,146,1,0,144,147,148,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/examples-10.0.vpr,1,9,0,0,9,9,9,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.1.vpr,1,9,0,0,9,9,9,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.2.vpr,1,18,0,0,18,18,19,true,8.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.3.vpr,1,19,0,0,19,19,19,true,11.22-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.4.vpr,0,107,1,0,106,107,110,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.0.vpr,1,9,0,0,9,9,9,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.1.vpr,1,9,0,0,9,9,9,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.2.vpr,1,18,0,0,18,18,18,true,9.43-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.3.vpr,1,19,0,0,19,19,19,true,9.37-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.4.vpr,0,106,0,0,105,106,107,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.0.vpr,0,206,4,1,202,204,213,true,success,QPs=0;SCcomps=0;methods=10;postBranches=10;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.1.vpr,0,135,1,0,133,135,137,true,success,QPs=0;SCcomps=0;methods=3;postBranches=3;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.2.vpr,0,151,1,0,150,150,153,true,success,QPs=0;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.3.vpr,0,106,1,0,106,106,108,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.4.vpr,0,159,2,1,157,158,162,true,success,QPs=0;SCcomps=0;methods=2;postBranches=2;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.5.vpr,0,102,1,0,100,102,104,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.0.vpr,0,172,2,1,169,173,174,true,success,QPs=0;SCcomps=0;methods=12;postBranches=13;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.1.vpr,0,144,1,0,143,145,145,true,success,QPs=0;SCcomps=0;methods=5;postBranches=5;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.2.vpr,0,105,0,0,105,105,106,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.3.vpr,0,177,1,0,176,176,180,true,success,QPs=0;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.4.vpr,0,104,1,0,103,105,105,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.5.vpr,0,241,8,3,230,242,251,true,success,QPs=0;SCcomps=0;methods=7;postBranches=14;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.0.vpr,0,173,0,0,172,173,174,true,success,QPs=0;SCcomps=0;methods=2;postBranches=3;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.1.vpr,0,214,1,0,213,215,216,true,success,QPs=0;SCcomps=0;methods=4;postBranches=5;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.2.vpr,0,236,8,3,227,234,247,true,success,QPs=0;SCcomps=0;methods=6;postBranches=8;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.3.vpr,0,434,20,4,408,435,459,true,success,QPs=0;SCcomps=0;methods=20;postBranches=27;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.0.vpr,0,105,0,0,105,105,105,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.1.vpr,0,234,6,2,226,235,241,true,success,QPs=0;SCcomps=0;methods=5;postBranches=6;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.2.vpr,0,364,8,2,352,369,371,true,success,QPs=0;SCcomps=0;methods=12;postBranches=17;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.3.vpr,0,456,5,1,450,455,464,true,success,QPs=0;SCcomps=0;methods=20;postBranches=27;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/examples-6.1.vpr,0,206,6,2,197,209,212,true,success,QPs=0;SCcomps=0;methods=5;postBranches=12;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/examples-6.2.vpr,0,268,5,1,261,272,272,true,success,QPs=0;SCcomps=0;methods=11;postBranches=25;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/examples-6.3.vpr,0,319,3,0,317,318,324,true,success,QPs=0;SCcomps=0;methods=16;postBranches=34;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/examples-6.4.vpr,0,383,12,3,371,380,400,true,success,QPs=0;SCcomps=0;methods=20;postBranches=41;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/examples-6.5.vpr,0,464,15,3,443,473,478,true,success,QPs=0;SCcomps=0;methods=25;postBranches=56;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/examples-6.6.vpr,0,552,17,3,536,544,577,true,success,QPs=0;SCcomps=0;methods=32;postBranches=70;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/examples-6.7.vpr,0,689,22,3,658,702,709,true,success,QPs=0;SCcomps=0;methods=36;postBranches=76;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/examples-6.8.vpr,0,104,0,0,104,104,105,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.1.vpr,0,203,3,1,199,203,208,true,success,QPs=0;SCcomps=0;methods=5;postBranches=12;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.2.vpr,0,307,3,0,304,307,312,true,success,QPs=0;SCcomps=0;methods=14;postBranches=29;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.3.vpr,0,366,5,1,359,368,373,true,success,QPs=0;SCcomps=0;methods=20;postBranches=46;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.4.vpr,0,104,1,0,104,104,106,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.5.vpr,0,103,1,0,102,103,105,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.6.vpr,0,684,8,1,673,690,690,true,success,QPs=0;SCcomps=0;methods=36;postBranches=78;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.7.vpr,0,705,22,3,684,695,737,true,success,QPs=0;SCcomps=0;methods=38;postBranches=80;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.8.vpr,0,104,0,0,104,105,105,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_6/well-founded_order_List.vpr,0,198,3,1,196,196,204,true,success,QPs=0;SCcomps=0;methods=5;postBranches=12;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/examples-7.0.vpr,0,189,3,1,185,188,194,true,success,QPs=0;SCcomps=0;methods=3;postBranches=8;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/examples-7.1.vpr,0,265,2,0,262,266,267,true,success,QPs=0;SCcomps=0;methods=6;postBranches=18;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/examples-7.2.vpr,0,322,10,3,309,324,335,true,success,QPs=0;SCcomps=0;methods=12;postBranches=30;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/examples-7.3.vpr,0,364,3,0,359,365,368,true,success,QPs=0;SCcomps=0;methods=14;postBranches=34;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/examples-7.4.vpr,0,483,12,2,467,488,496,true,success,QPs=0;SCcomps=0;methods=21;postBranches=47;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.0.vpr,0,229,0,0,228,229,230,true,success,QPs=0;SCcomps=0;methods=4;postBranches=12;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.1.vpr,0,366,11,3,353,366,380,true,success,QPs=0;SCcomps=0;methods=10;postBranches=32;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.2.vpr,0,351,10,2,341,347,365,true,success,QPs=0;SCcomps=0;methods=16;postBranches=38;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.3.vpr,0,104,0,0,104,105,105,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/exercises-7.4.vpr,0,105,1,0,105,105,107,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_7/well-founded_order_Unary.vpr,0,196,7,3,189,193,206,true,success,QPs=0;SCcomps=0;methods=3;postBranches=8;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_8/examples-8.0.vpr,0,431,20,4,416,418,461,true,success,QPs=0;SCcomps=0;methods=24;postBranches=54;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_8/examples-8.1.vpr,0,555,20,3,526,568,571,true,success,QPs=0;SCcomps=0;methods=31;postBranches=72;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_8/examples-8.2.vpr,0,1030,21,2,1004,1031,1056,true,success,QPs=0;SCcomps=0;methods=41;postBranches=102;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_8/exercises-8.0.vpr,0,525,3,0,521,528,528,true,success,QPs=0;SCcomps=0;methods=25;postBranches=62;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_8/exercises-8.1.vpr,0,105,1,0,104,105,107,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_8/exercises-8.2.vpr,0,1550,11,0,1534,1557,1560,true,success,QPs=0;SCcomps=0;methods=51;postBranches=122;proverWarnings=0
DaV/viper/dafny_book_examples/definitions.vpr,0,113,0,0,113,113,113,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
