File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
DaG/gobra/dafny_book/chap01.vpr,0,286,12,4,274,282,303,true,success,QPs=0;SCcomps=0;methods=37;postBranches=39;proverWarnings=0
DaG/gobra/dafny_book/chap03.vpr,0,596,25,4,573,583,632,true,success,QPs=0;SCcomps=0;methods=43;postBranches=74;proverWarnings=0
DaG/gobra/dafny_book/chap04.vpr,0,686,31,4,652,680,728,true,success,QPs=0;SCcomps=0;methods=32;postBranches=52;proverWarnings=0
DaG/gobra/dafny_book/chap05.vpr,0,1160,53,4,1114,1131,1235,true,success,QPs=0;SCcomps=0;methods=60;postBranches=113;proverWarnings=0
DaG/gobra/dafny_book/chap06.vpr,0,1010,11,1,995,1017,1020,true,success,QPs=0;SCcomps=0;methods=60;postBranches=94;proverWarnings=0
DaG/gobra/dafny_book/chap07.vpr,0,772,18,2,747,780,789,true,success,QPs=0;SCcomps=0;methods=40;postBranches=71;proverWarnings=0
DaG/gobra/dafny_book/chap08.vpr,0,1929,62,3,1857,1921,2010,true,success,QPs=0;SCcomps=0;methods=79;postBranches=151;proverWarnings=0
DaG/gobra/dafny_book/chap10.vpr,0,1963,19,0,1940,1963,1988,true,success,QPs=0;SCcomps=0;methods=37;postBranches=61;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/BraunTree.vpr,0,159,2,1,157,159,162,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/examples-10.0.vpr,1,9,0,0,9,9,9,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.1.vpr,1,9,0,0,9,9,9,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.2.vpr,1,18,0,0,18,18,18,true,8.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.3.vpr,1,19,0,0,19,19,19,true,11.22-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.4.vpr,0,118,1,0,117,117,120,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.0.vpr,1,9,0,0,9,9,10,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.1.vpr,1,9,0,0,9,9,9,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.2.vpr,1,17,0,0,17,17,17,true,9.43-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.3.vpr,1,19,0,0,19,19,19,true,9.37-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.4.vpr,0,117,0,0,116,117,118,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.0.vpr,0,199,6,3,191,200,206,true,success,QPs=0;SCcomps=0;methods=10;postBranches=10;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.1.vpr,0,145,2,1,142,144,149,true,success,QPs=0;SCcomps=0;methods=3;postBranches=3;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.2.vpr,0,159,1,0,157,159,161,true,success,QPs=0;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.3.vpr,0,116,1,0,115,115,118,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.4.vpr,0,167,0,0,167,167,168,true,success,QPs=0;SCcomps=0;methods=2;postBranches=2;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/examples-11.5.vpr,0,114,3,2,110,115,118,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.0.vpr,0,180,2,1,178,179,184,true,success,QPs=0;SCcomps=0;methods=12;postBranches=13;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.1.vpr,0,153,2,1,151,155,155,true,success,QPs=0;SCcomps=0;methods=5;postBranches=5;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.2.vpr,0,114,1,0,113,115,115,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.3.vpr,0,184,0,0,184,184,185,true,success,QPs=0;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.4.vpr,0,115,0,0,115,116,116,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.5.vpr,0,257,5,1,253,255,265,true,success,QPs=0;SCcomps=0;methods=7;postBranches=14;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.0.vpr,0,176,0,0,176,176,177,true,success,QPs=0;SCcomps=0;methods=2;postBranches=3;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.1.vpr,0,228,10,4,213,235,236,true,success,QPs=0;SCcomps=0;methods=4;postBranches=5;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.2.vpr,0,239,12,5,230,232,257,true,success,QPs=0;SCcomps=0;methods=6;postBranches=8;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/examples-12.3.vpr,0,412,6,1,405,410,421,true,success,QPs=0;SCcomps=0;methods=20;postBranches=27;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.0.vpr,0,115,0,0,115,115,116,true,success,QPs=0;SCcomps=0;methods=0;postBranches=0;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.1.vpr,0,248,14,5,232,244,268,true,success,QPs=0;SCcomps=0;methods=5;postBranches=6;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.2.vpr,0,338,27,7,302,342,370,true,success,QPs=0;SCcomps=0;methods=12;postBranches=17;proverWarnings=0
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.3.vpr,0,409,39,9,354,433,441,true,success,QPs=0;SCcomps=0;methods=20;postBranches=27;proverWarnings=0
