File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
DaG/gobra/dafny_book/chap01.vpr,0,935,6,0,929,932,945,true,success,boogieTime=812
DaG/gobra/dafny_book/chap03.vpr,0,1278,3,0,1276,1277,1283,true,success,boogieTime=944
DaG/gobra/dafny_book/chap04.vpr,0,1851,4,0,1846,1850,1857,true,success,boogieTime=1561
DaG/gobra/dafny_book/chap05.vpr,0,2628,32,1,2595,2617,2672,true,success,boogieTime=2098
DaG/gobra/dafny_book/chap06.vpr,0,3208,19,0,3190,3200,3235,true,success,boogieTime=2739
DaG/gobra/dafny_book/chap07.vpr,1,1547,6,0,1543,1543,1556,true,1700.11-application.precondition:assertion.false,boogieTime=1262
DaG/gobra/dafny_book/chap08.vpr,0,5087,12,0,5071,5089,5101,true,success,boogieTime=4149
DaG/gobra/dafny_book/chap10.vpr,8,3696,19,0,3677,3716,3716,false,1340.21-application.precondition:assertion.false;2088.31-application.precondition:assertion.false;2179.29-application.precondition:assertion.false;326.12-postcondition.violated:assertion.false;362.24-application.precondition:assertion.false;807.12-postcondition.violated:assertion.false;925.34-application.precondition:assertion.false;976.34-application.precondition:assertion.false,boogieTime=2763
DaV/viper/dafny_book_examples/Chapter_10/BraunTree.vpr,0,277,1,0,276,278,279,true,success,boogieTime=237
DaV/viper/dafny_book_examples/Chapter_10/examples-10.0.vpr,1,10,0,0,9,10,11,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.1.vpr,1,9,0,0,9,9,9,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.2.vpr,1,18,0,0,18,19,19,true,8.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.3.vpr,1,19,0,0,19,20,20,true,11.22-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/examples-10.4.vpr,0,229,1,0,228,229,231,true,success,boogieTime=225
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.0.vpr,1,9,0,0,9,9,10,true,21.19-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.1.vpr,1,10,0,0,10,10,10,true,26.20-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.2.vpr,1,18,0,0,18,18,18,true,9.43-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.3.vpr,1,19,0,0,19,20,20,true,9.37-parser.error,
DaV/viper/dafny_book_examples/Chapter_10/exercises-10.4.vpr,0,229,2,0,227,231,231,true,success,boogieTime=224
DaV/viper/dafny_book_examples/Chapter_11/examples-11.0.vpr,0,620,2,0,618,620,624,true,success,boogieTime=566
DaV/viper/dafny_book_examples/Chapter_11/examples-11.1.vpr,0,468,1,0,466,469,469,true,success,boogieTime=439
DaV/viper/dafny_book_examples/Chapter_11/examples-11.2.vpr,0,536,2,0,534,535,539,true,success,boogieTime=508
DaV/viper/dafny_book_examples/Chapter_11/examples-11.3.vpr,0,230,1,0,229,230,232,true,success,boogieTime=221
DaV/viper/dafny_book_examples/Chapter_11/examples-11.4.vpr,0,518,2,0,515,520,521,true,success,boogieTime=478
DaV/viper/dafny_book_examples/Chapter_11/examples-11.5.vpr,0,230,0,0,230,231,231,true,success,boogieTime=223
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.0.vpr,0,531,2,0,529,530,535,true,success,boogieTime=495
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.1.vpr,0,483,1,0,483,483,485,true,success,boogieTime=452
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.2.vpr,0,230,1,0,229,231,231,true,success,boogieTime=223
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.3.vpr,0,544,6,1,536,544,552,true,success,boogieTime=508
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.4.vpr,0,231,0,0,230,231,232,true,success,boogieTime=224
DaV/viper/dafny_book_examples/Chapter_11/exercises-11.5.vpr,0,685,4,0,681,685,691,true,success,boogieTime=632
DaV/viper/dafny_book_examples/Chapter_12/examples-12.0.vpr,0,542,1,0,541,542,545,true,success,boogieTime=502
DaV/viper/dafny_book_examples/Chapter_12/examples-12.1.vpr,0,599,3,0,595,599,603,true,success,boogieTime=542
DaV/viper/dafny_book_examples/Chapter_12/examples-12.2.vpr,0,656,2,0,654,654,660,true,success,boogieTime=585
DaV/viper/dafny_book_examples/Chapter_12/examples-12.3.vpr,0,1075,4,0,1072,1073,1082,true,success,boogieTime=944
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.0.vpr,0,230,0,0,230,231,231,true,success,boogieTime=224
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.1.vpr,0,638,2,0,636,638,641,true,success,boogieTime=575
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.2.vpr,0,852,6,0,846,849,862,true,success,boogieTime=759
DaV/viper/dafny_book_examples/Chapter_12/exercises-12.3.vpr,0,1063,3,0,1058,1065,1066,true,success,boogieTime=933
DaV/viper/dafny_book_examples/Chapter_6/examples-6.1.vpr,0,633,1,0,632,634,635,true,success,boogieTime=587
DaV/viper/dafny_book_examples/Chapter_6/examples-6.2.vpr,0,839,2,0,837,839,842,true,success,boogieTime=763
DaV/viper/dafny_book_examples/Chapter_6/examples-6.3.vpr,0,1033,2,0,1029,1034,1036,true,success,boogieTime=941
DaV/viper/dafny_book_examples/Chapter_6/examples-6.4.vpr,0,1233,4,0,1227,1234,1238,true,success,boogieTime=1124
DaV/viper/dafny_book_examples/Chapter_6/examples-6.5.vpr,0,1530,1,0,1528,1530,1532,true,success,boogieTime=1362
DaV/viper/dafny_book_examples/Chapter_6/examples-6.6.vpr,0,1991,8,0,1986,1986,2003,true,success,boogieTime=1799
DaV/viper/dafny_book_examples/Chapter_6/examples-6.7.vpr,0,2275,10,0,2268,2268,2290,true,success,boogieTime=1992
DaV/viper/dafny_book_examples/Chapter_6/examples-6.8.vpr,0,230,1,0,229,231,231,true,success,boogieTime=218
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.1.vpr,0,627,2,0,625,627,630,true,success,boogieTime=579
DaV/viper/dafny_book_examples/Chapter_6/exercises-6.2.vpr,0,1191,2,0,1188,1190,1195,true,success,boogieTime=1102
